,precision,recall,f1-score,support
birddrop,0.9418604651162791,0.6778242677824268,0.7883211678832117,239.0
dusty,0.746938775510204,0.756198347107438,0.7515400410677618,242.0
hotspot,1.0,1.0,1.0,23.0
normal,0.7978947368421052,0.9358024691358025,0.8613636363636363,405.0
physical,0.8561151079136691,0.8206896551724138,0.8380281690140845,145.0
accuracy,0.8216318785578748,0.8216318785578748,0.8216318785578748,0.8216318785578748
macro avg,0.8685618170764515,0.8381029478396161,0.8478506028657389,1054.0
weighted avg,0.8312598613897483,0.8216318785578748,0.8194001957275152,1054.0
