,precision,recall,f1-score,support
birddrop,0.8842592592592593,0.799163179916318,0.8395604395604396,239.0
dusty,0.8405797101449275,0.71900826446281,0.7750556792873051,242.0
hotspot,1.0,1.0,1.0,23.0
normal,0.8860465116279069,0.9407407407407408,0.9125748502994012,405.0
physical,0.7640449438202247,0.9379310344827586,0.8421052631578947,145.0
accuracy,0.8586337760910816,0.8586337760910816,0.8586337760910816,0.8586337760910816
macro avg,0.8749860849704637,0.8793686439205255,0.8738592464610082,1054.0
weighted avg,0.8609047503617365,0.8586337760910816,0.8566570179996442,1054.0
