,precision,recall,f1-score,support
birddrop,0.9323308270676691,0.5188284518828452,0.6666666666666666,239.0
dusty,0.7509025270758123,0.859504132231405,0.8015414258188824,242.0
hotspot,1.0,1.0,1.0,23.0
normal,0.87248322147651,0.9629629629629629,0.9154929577464789,405.0
physical,0.764367816091954,0.9172413793103448,0.8338557993730408,145.0
accuracy,0.8330170777988615,0.8330170777988615,0.8330170777988615,0.8330170777988615
macro avg,0.864016878342389,0.8517073852775117,0.8435113699210138,1054.0
weighted avg,0.8460479290823903,0.8330170777988615,0.8235200162978346,1054.0
